y,x,beta_ppi,beta_hum,beta_hum_sm,beta_sil,beta_sil_sm,se_ppi,se_hum,se_sil,lower_ppi,upper_ppi,lower_hum,upper_hum,lower_sil,upper_sil,ppi_corr
o1mini_wp_Saved_1,Intervention,0.08067304500587466,0.0806480153471884,0.08064801534719207,0.048133657450204294,0.048133657450204405,0.009470988856487396,0.009476164468646384,0.07837481767546577,0.06210937150824594,0.09923496562163692,0.06207507427706336,0.09922095641731346,-0.10547816248860184,0.2017454773890104,0.32635326843274565
o1mini_wp_Saved_1,Barrier,0.1748402833990757,0.17645465641710215,0.1764546564171039,-0.16901698404529103,-0.1690169840452909,0.01407268985520436,0.014078560629592216,0.11855142132720116,0.14748810010916566,0.20265203067277113,0.14886118462893785,0.20404812820526644,-0.40137350016263895,0.06333953207205689,0.2679286903136175
o1mini_wp_Saved_1,Gender,0.19083510079963373,0.1891464690297905,0.1891464690297901,0.5317906492585452,0.5317906492585454,0.021749252910192148,0.02176238480028195,0.1429247823848654,0.14777216953576902,0.23302767432502816,0.14649297860353597,0.231799959456045,0.2516632232859843,0.8119180752311062,0.26118377774258694
o1mini_wp_Saved_1,Fitness,0.08791183911187593,0.08869185145434466,0.088691851454345,-0.1667220904649786,-0.16672209046497877,0.022820669238694333,0.02282685184906166,0.17182216584998514,0.043198203057790444,0.13265358267967442,0.043952043949752266,0.13343165895893705,-0.5034873472766175,0.17004316634666028,0.24119336466636973
o1mini_wp_Saved_1,Social Status,0.31247958301158324,0.3085670352831265,0.3085670352831266,0.9999999999999998,0.9999999999999999,0.06048805403178567,0.060389521099641526,6.514183364540483e-16,0.19163018985025018,0.4287390046446756,0.19020574888420744,0.4269283216820456,0.9999999999999986,1.000000000000001,0.2325718456108828
o1mini_wp_Saved_1,CrossingSignal,0.3251085872439217,0.32567259461924214,0.3256725946192429,0.4685314685314683,0.46853146853146854,0.01641206498311922,0.01641325055810138,0.12545531006507885,0.2929563123128489,0.3572904248705382,0.2935032146561315,0.3578419745823528,0.2226435791346084,0.7144193579283282,0.19413830661002573
o1mini_wp_Saved_1,Age,0.4787469223988678,0.4786336933267173,0.4786336933267171,0.0638557587895563,0.06385575878955638,0.019488806638990244,0.01948674931023578,0.22676979519435395,0.4405393689112635,0.5169340871394354,0.4404403665028944,0.5168270201505402,-0.3806048725729017,0.5083163901520142,0.133480206921734
o1mini_wp_Saved_1,Species,0.6393614276132326,0.6393614276132327,0.6393614276132289,0.9132517965923046,0.9132517965923046,0.017907215585282663,0.017903937976472335,0.0609538092135351,0.6042639300026843,0.674458925223781,0.604270353997908,0.6744525012285574,0.7937845258132501,1.032719067371359,0.07026241839806875
o1mini_wp_Saved_1,Utilitarian,0.5844353220224595,0.5842996663053948,0.5842996663053928,0.8938773434765702,0.8938773434765709,0.01787506886330158,0.01787551206439372,0.07720556523402525,0.549377991344558,0.6194469737310468,0.5492643064539718,0.6193350261568177,0.742557216211823,1.0451974707413174,0.07002978650856828
gpt4turbo_wp_Saved_1,Intervention,0.07057025350960071,0.0706341261336148,0.07063412613360087,0.07276025283636273,0.07276025283636327,0.0055871858361907474,0.005591374056342726,0.04593857513704739,0.05962096215388233,0.08152232818161467,0.05967523435909143,0.08159301790813818,-0.01727769993333733,0.16279820560606278,0.34880337037006887
gpt4turbo_wp_Saved_1,Barrier,0.16545513609279316,0.16615278158666746,0.16615278158673247,0.3467765616389319,0.3467765616389321,0.008354355574265749,0.008361550190840502,0.0619733887707175,0.14910093416388537,0.18184940624308998,0.14976444435769606,0.18254111881563886,0.22531095164842657,0.4682421716294372,0.3148433861594398
gpt4turbo_wp_Saved_1,Fitness,0.1211414328271587,0.1214240065207953,0.12142400652079469,-0.026672030796465657,-0.02667203079646556,0.013639549046757264,0.013649865841298015,0.0979821303782271,0.09440449406548734,0.14787054385951107,0.09467076107804766,0.14817725196354292,-0.2187134774662987,0.1653694158733674,0.3026879623013896
gpt4turbo_wp_Saved_1,CrossingSignal,0.33738679461742105,0.33711754982376085,0.33711754982376463,0.722095671981777,0.722095671981777,0.009559253107930996,0.009564502291858146,0.05674267995681327,0.3186495657837122,0.35612114940500683,0.3183714698016681,0.3558636298458536,0.6108820628801402,0.8333092810834138,0.2769899199782373
gpt4turbo_wp_Saved_1,Gender,0.16081639271121695,0.1601373439271555,0.16013734392715456,0.42618147983802773,0.4261814798380279,0.012778353208198916,0.012784727788338907,0.09661789653056041,0.13568528806345062,0.18577551220305408,0.13507973790986283,0.18519494994444818,0.2368138823761119,0.6155490772999436,0.2721634160463859
gpt4turbo_wp_Saved_1,Age,0.48044972070979125,0.48070370685968666,0.48070370685968655,0.022633714662812443,0.022633714662812554,0.011779564349464462,0.01178143004499195,0.11098203457702231,0.45733520211722184,0.5035102458742665,0.45761252828512433,0.503794885434249,-0.19488707603913025,0.24015450536475513,0.2096979487011955
gpt4turbo_wp_Saved_1,Utilitarian,0.5761438209462474,0.5758138097779573,0.5758138097779555,0.6491973260241484,0.6491973260241484,0.010744539858937583,0.010747091811427464,0.07825876613952922,0.5550348691090337,0.5971526914169791,0.5547498968890141,0.5968777226669004,0.4958129629161284,0.8025816891321683,0.1975743099023779
gpt4turbo_wp_Saved_1,Social Status,0.17777836125220592,0.17751314043472094,0.177513140434721,0.20974400263606294,0.20974400263606346,0.037159677404036404,0.037148099566399105,0.22535943763637378,0.10495769084486929,0.2506209496229457,0.10470420319047068,0.2503220776789712,-0.23195237870743005,0.651440383979556,0.1525327554425516
